id,name,location,num_employees,industry,description,friends
1,Facebook,1,1000,1,"Facebook is the world's largest social network with over one billion active users. As an employer, Facebook strives to hire the best people who want to move fast and make an impact. The company empowers people in every way it can to allow our employees to focus on what they love to do.

People around the world use Facebook everyday to stay connected with friends and family, to discover what's going on, and to share and express what matters to them.

Mission: Facebook’s mission is to give people the power to share and make the world more open and connected. People use Facebook to stay connected with friends and family, to discover what’s going on in the world, and to share and express what matters to them.","1, 2, 3, 4, 5"
2,Pinterest,2,150,1,"Pinterest is a social networking site with a visually-pleasing “virtual pinboard” interface. Users collect photos and link to products they love, creating their own pinboards and following the pinboards of other people whom they find interesting.","6,7,8"
3,AdRoll,3,150,"1,2","AdRoll is the largest retargeting platform with over 7,000 active advertisers in the US and around the world. Their mission is to make powerful performance display advertising techniques simple for business of all sizes.
96% of customers who try AdRoll stick with it. They maximize ROI for many well-known brands such as Groupon, Microsoft, Tivo, Hipmunk, Cooking.com.
AdRoll’s retargeting provides unmatched transparency, cross-platform reach across the largest display inventory sources, and powerful segmentation tools that allow for personalizing ad campaigns based on a visitor’s shopping behavior on a site.
Along with advanced retargeting technology, AdRoll offers lookalike modeling, behavioral targeting, and site targeting across the web, mobile and Facebook to bring you brand new customers.","9,10,11"
4,Twitter,4,1000,1,"Twitter is a real-time information network that connects you to the latest stories, ideas, opinions and news about what you find interesting. Simply find the accounts you find most compelling and follow the conversations.

At the heart of Twitter are small bursts of information called Tweets. Each Tweet is 140 characters long, but don’t let the small size fool you—you can discover a lot in a little space. You can see photos, videos and conversations directly in Tweets to get the whole story at a glance, and all in one place.","12,13,14"
5,Stripe,5,50,1,"Stripe is a simple, developer-friendly way to accept payments online. They believe that enabling transactions on the web is a problem rooted in code, not finance, and they want to help put more websites in business.
",15
6,Lyft,6,50,1,"We make sure you never get stranded in the city. Lyft is a sweet new on-demand ride service that's a fraction of the cost of a cab. With our iPhone app, you can instantly request a pickup, and a safe, friendly driver will be there within minutes. We select awesome, trustworthy drivers from the community who swiftly get you to your destination (they’re background-checked AND personality-checked, too!). ",16
7,LinkedIn,7,1000,"1,3","With over 225 million users representing over 200 countries around the world, LinkedIn is a fast-growing professional networking site that allows members to create business contacts, search for jobs, and find potential clients. Individuals have the ability to create their own professional profile that can be viewed by others in their network, and also view the profiles of their own contacts.","17,18,19,20"
8,GoodData,8,200,"1,4","GoodData provides a cloud-based platform that enables more than 6,000 global businesses to monetize big data. GoodData is headquartered in San Francisco and is backed by Andreessen Horowitz, General Catalyst Partners, Fidelity Growth Partners, Next World Capital, Tenaya Capital and Windcrest Partners.
",
9,Airbnb,9,,1,"Founded in August 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique spaces around the world – online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for month, Airbnb connects people to unique travel experiences, at any price point, in more that 26,000 cities and 192 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions.","21,22"
10,pivotal labs,10,250,1,"Pivotal Labs has been at the forefront of agile development for more than two decades building highly reliable, scalable software for innovative industry leaders and emerging companies across a number of industries. We’ve partnered with technical teams ranging in experience from the newly minted to the seasoned; together we’ve launched hundreds of web and mobile products and built complex enterprise infrastructures that run some of the world’s most effective business platforms.
Pivotal Labs has worked with some of the most innovative companies in today’s market including Twitter, Salesforce.com, Groupon, EMI, Urban Dictionary, Best Buy, TaskRabbit, and the Annie E. Casey Foundation. Pivotal Labs is also the company behind Pivotal Tracker, the award winning project management tool used by developers around the world.
Founded in 1989, Pivotal Labs has offices in San Francisco, Los Angeles, Boulder, Denver, Boston, New York and London.","23,24"
11,Square,11,500,"1,5","Square is making commerce easy for everyone. Starting with a free credit card reader for the iPhone, iPad, and Android devices, Square Reader allows anyone to accept credit cards anywhere, anytime, for a low transaction rate of 2.75 percent per swipe, with no hidden fees. Square Register serves as a full point-of-sale system for businesses to accept payments, manage items, and share menu and location information. Square Wallet, available in the US, is the most seamless way to pay, enabling individuals to pay at their favorite local businesses, discover new ones nearby, explore menu listings, and store receipts. Founded in 2009, and headquartered in San Francisco, Square is currently available in the U.S. and Canada. More information is available at squareup.com","25,26,27,28"
